Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Skoda,Octavia,-0.5164491886657425,Universal,0.8749117270404734,,Petrol,Manual,-0.29741972829035546,0.4675929489318834
Opel,Astra,-0.07405288199173347,Universal,0.9140824270661774,,Diesel,Manual,-0.33292118276769345,0.7584864066046719
Skoda,Superb,0.8087603278232458,Sedan,0.30385048461265657,,Diesel,Automatic,0.7589251655471019,0.8210244100630141
Volkswagen,Amarok,0.3676829671490637,Pickup,0.04687857693944316,,Diesel,Manual,0.8056741970350138,0.13711409107843758
Mercedes,Vito,-1.2552494259977915,Minivan,0.6947388056222836,,Diesel,Automatic,-0.8969000490568381,-0.05620688990993745
Nissan,Qashqai,1.1024470430775788,Crossover,0.05481614314850758,,Diesel,Manual,0.9015564927758195,0.9225605036452145
BMW,5 Series,1.3958425468655484,Sedan,-1.365130528608968,,Petrol,Automatic,1.709285042548043,-0.08129134626094436
Renault,Megane,0.2205109465437882,Universal,0.6906107768432614,,Diesel,Manual,-0.29741972829035546,0.7162934448503337
Ford,Mondeo,1.1024470430775788,Sedan,0.17512898985072234,,Diesel,Manual,0.8229615697680207,1.0516531406902194
Toyota,C-HR,1.3958425468655484,Crossover,-0.28096349213835964,,Hybrid,Automatic,1.1212221869670869,1.0819924224430333
Nissan,Qashqai,1.249181160305614,Crossover,0.10592150892108111,,Diesel,Manual,0.728976557657822,1.211090445650945
Toyota,Auris,0.8087603278232458,Universal,0.3292684503151612,,Hybrid,Automatic,0.3911286522151854,0.8482972434369697
Toyota,C-HR,1.249181160305614,Crossover,-0.2296852629366478,,Hybrid,Automatic,1.2560592465698623,0.8509928802055293
Renault,Kadjar,1.1024470430775788,Crossover,0.04847031510877589,,Diesel,Automatic,0.8637896617635556,0.9157515908953533
Lexus,NX Series,0.9556401230095616,SUV,0.0388879162474134,,Hybrid,Automatic,1.4276920867747454,0.7078834611291015
Volkswagen,Passat,-0.3689102470265021,Sedan,0.482480992234462,,Petrol,Automatic,-0.21780485326304777,0.12423182373903935
Infiniti,Q Series,1.1024470430775788,Crossover,-0.5901994238186268,,Diesel,Automatic,1.0519755618982174,0.2304751382232049
Volkswagen,Passat,-0.22144483588723396,Universal,0.9520094004627824,,Metan/Propan,Manual,-0.08347267332038175,0.710747763574728
Hyundai,Matrix,-0.3689102470265021,Hatchback,0.8669210663484437,,Diesel,Manual,-0.8969000490568381,0.53672628558138
Honda,Civic,1.249181160305614,Hatchback,-1.9955282787814508,,Petrol,Automatic,0.8506316307880846,-1.0437119478426422
Renault,Kadjar,1.1024470430775788,Crossover,-0.035540260378348544,,Diesel,Automatic,0.7684251807288512,0.8256103713450931
Skoda,Octavia,0.5147818224416055,Sedan,0.1679541975964402,,Diesel,Automatic,0.3911286522151854,0.38919135296404306
Skoda,Superb,0.07326568780635243,Sedan,0.5205807828927563,,Diesel,Automatic,0.3911286522151854,0.43125884161683065
Toyota,Corolla,-0.3689102470265021,Universal,0.3819292051350545,,Diesel,Automatic,-0.21780485326304777,0.016342303109726907
Volvo,S80,-1.2552494259977915,Sedan,0.40655080080394934,,Petrol,Automatic,-0.5592805633111595,-0.36542531941661643
Land Rover,Freelander,-1.2552494259977915,SUV,0.5575029061086993,,Diesel,Manual,-0.998594605466643,-0.2034575339687606
BMW,5 Series,1.3958425468655484,Sedan,-0.6745591215460324,,Diesel,Automatic,1.9518357051007011,0.659674281676369
