Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),km_year
Volkswagen,Amarok,0.7142857142857143,Pickup,0.3373557152405665,0.47619047619047616,Diesel,Manual,0.24696356275303644,0.3774576601129064
Mercedes,Vito,0.4,Minivan,0.5804090046742748,0.5238095238095238,Diesel,Automatic,0.04856275303643725,0.32431380182986186
Nissan,Qashqai,0.8571428571428571,Crossover,0.33960620866124896,0.35714285714285715,Diesel,Manual,0.26902834008097165,0.698429693076374
BMW,5 Series,0.9142857142857143,Sedan,0.1033043994895881,0.47619047619047616,Petrol,Automatic,0.5475708502024291,0.31798715203426126
Renault,Megane,0.6857142857142857,Universal,0.5784060655298674,0.35714285714285715,Diesel,Manual,0.08904858299595142,0.5942951463240542
Ford,Mondeo,0.8571428571428571,Sedan,0.3756141033921687,0.35714285714285715,Diesel,Manual,0.25080971659919027,0.7726623840114204
Toyota,C-HR,0.9142857142857143,Crossover,0.256337952095997,0.42857142857142855,Hybrid,Automatic,0.3269230769230769,0.791220556745182
Nissan,Qashqai,0.8857142857142857,Crossover,0.3544594652377534,0.35714285714285715,Diesel,Manual,0.2305668016194332,0.875289079229122
Toyota,Auris,0.8,Universal,0.42737545206786587,0.42857142857142855,Hybrid,Automatic,0.16983805668016194,0.6589935760171306
Toyota,C-HR,0.8857142857142857,Crossover,0.26759041919940946,0.42857142857142855,Hybrid,Automatic,0.36821862348178136,0.6603854389721627
Renault,Kadjar,0.8571428571428571,Crossover,0.337805813924703,0.35714285714285715,Diesel,Automatic,0.2601214574898785,0.6947180585296217
Lexus,NX Series,0.8285714285714286,SUV,0.335105221819884,0.5952380952380952,Hybrid,Automatic,0.42813765182186236,0.5903946160905476
Volkswagen,Passat,0.5714285714285714,Sedan,0.4858882810056105,0.47619047619047616,Petrol,Automatic,0.09615384615384616,0.3736616702355461
Infiniti,Q Series,0.8571428571428571,Crossover,0.19782512315825246,0.35714285714285715,Diesel,Automatic,0.30748987854251014,0.40613847251962887
Volkswagen,Passat,0.6,Universal,0.7199395967565889,0.38095238095238093,Metan/Propan,Manual,0.1092914979757085,0.5917201998572448
Hyundai,Matrix,0.5714285714285714,Hatchback,0.6704287415015742,0.35714285714285715,Diesel,Manual,0.04856275303643725,0.5163276231263383
Honda,Civic,0.8857142857142857,Hatchback,0.06085559258867507,0.35714285714285715,Petrol,Automatic,0.25708502024291496,0.14894817987152034
Renault,Kadjar,0.8571428571428571,Crossover,0.31485078103374164,0.35714285714285715,Diesel,Automatic,0.2388663967611336,0.6473947180585296
Skoda,Octavia,0.7428571428571429,Sedan,0.37336360997148627,0.38095238095238093,Diesel,Automatic,0.16983805668016194,0.45995717344753745
Skoda,Superb,0.6571428571428571,Sedan,0.5016417349503879,0.47619047619047616,Diesel,Automatic,0.16983805668016194,0.47537473233404703
Toyota,Corolla,0.5714285714285714,Universal,0.44664642722917,0.3333333333333333,Diesel,Automatic,0.09615384615384616,0.3433242773019272
Volvo,S80,0.4,Sedan,0.4559522175236921,0.6666666666666666,Petrol,Automatic,0.06880566801619434,0.2543385244306015
Land Rover,Freelander,0.4,SUV,0.5173951888951652,0.47619047619047616,Diesel,Manual,0.043522267206477734,0.28888456297449877
BMW,5 Series,0.9142857142857143,Sedan,0.18432216263415754,0.47619047619047616,Diesel,Automatic,0.6761133603238867,0.5685224839400428
Volkswagen,Passat,0.2571428571428571,Universal,0.5632354893810468,0.42857142857142855,Petrol,Manual,0.04251012145748988,0.255991513997938
KIA,Magentis,0.5428571428571428,Sedan,0.5638273691506863,0.47619047619047616,Metan/Propan,Manual,0.04230769230769231,0.40826502078347404
Seat,Inca,0.34285714285714286,Combi,0.6749297283429392,0.4523809523809524,Diesel,Manual,0.01720647773279352,0.3458244111349037
